Region	Tilhørighet2EnhetID	Tilhørighet2	TilhørighetEnhetID	Tilhørighet	EnhetID	Enhetsnavn	Enhetskorttype	Enhetstype (Utledet)	Antall G/K - plasser	Antall budsjetterte plasser	Hjemler	Nedlagt Dato	Eierskapenhet	Lokasjonskode	ePhorte Adm Id	Fylke	Kommune	Adresse	Postnummer	Poststed	Telefon	Nettside	EPost	Orgnr
Vest			577	Stavanger akuttsenter (SAS)	578	Stavanger akuttsenter - Madla	Barnevernsinstitusjon	Barnevernsinstitusjon	6	5	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	410702	V-1-SAS-MA	ROGALAND	STAVANGER	Kompani Linges vei 23	4045	HAFRSFJORD				
Vest			577	Stavanger akuttsenter (SAS)	578	Stavanger akuttsenter - Madla	Barnevernsinstitusjon	Barnevernsinstitusjon	6	5	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	410702	V-1-SAS-MA	ROGALAND	STAVANGER	Kompani Linges vei 23	4045	HAFRSFJORD				
Sør			793	Telemark ungdomssenter	477	Kjørbekk	Barnevernsinstitusjon	Barnevernsinstitusjon	6	5	/ § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 3-6 Hjelpetiltak til unge over 18 år / § 5-5 Flytting / § 5-1 Omsorgsovertakelse		Statlig	331708	S-3-TVUH-KJ	TELEMARK	SKIEN	Kjørbekksvingen 38	3735	SKIEN				
Nord			43146	Bodø behandlingssenter adm	43147	Bodø behandlingssenter Sandhornet	Barnevernsinstitusjon	Barnevernsinstitusjon	5	5	/ § 5-1 Omsorgsovertakelse / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Statlig	634801	N-3-BBS-SA	NORDLAND	BODØ	Rønvikveien 9	8009	BODØ				986128433
Nord			43146	Bodø behandlingssenter adm	43148	Bodø behandlingssenter Landegode	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0			Statlig	634802	N-3-BBS-LA	NORDLAND	BODØ	Rønvikveien 9	8009	BODØ				986128433
Nord			693	Kvæfjord Ungdomssenter administrasjonen	54257	Nye Kvæfjord ungdomssenter avdeling 3	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	633505	N-4-KUS-A3	TROMS	KVÆFJORD	Heimlyveien 5	9475	BORKENES				
Nord			693	Kvæfjord Ungdomssenter administrasjonen	749	Kvæfjord Ungdomssenter avdeling 1	Barnevernsinstitusjon	Barnevernsinstitusjon	5	5	/ § 5-1 Omsorgsovertakelse / § 5-5 Flytting / § 4-2 Akutt, uten samtykke / § 4-1 Hjelpetiltak akutt / § 3-2 Hjelpetiltak omsorg / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	633501	N-4-KUS-A1	TROMS	KVÆFJORD	Heimlyveien 5	9475	BORKENES				
Sør			872	Klokkerhuset ungdomssenter akutt	48969	Kartleggingsteam ungdom	Avdeling	Utredningsteam	0	0			Statlig	310910	S-1-KUS-KU	TELEMARK	SKIEN	Ulefossveien 52	3730	SKIEN				
Øst			681	Lierfoss ungdoms- og familiesenter - omsorg Administrasjon	49024	Lierfoss ungdoms- og familiesenter - avdeling Riserhagen	Barnevernsinstitusjon	Barnevernsinstitusjon	5	5	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	232610	Ø-3-LUFS-RI	AKERSHUS	AURSKOG-HØLAND	Riserveien 40	1930	AURSKOG				
Øst			51975	Jong ungdoms- og familiesenter, adm	51977	Jong ungdoms- og familiesenter, avd Kollen	Barnevernsinstitusjon	Barnevernsinstitusjon	5	4	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	237202	Ø-3-JUFS-KO	AKERSHUS	BÆRUM	Emma Hjorths vei 60	1336	SANDVIKA				
Øst			808	Østfold ungdoms- og familiesenter - omsorg Administrasjon	47458	Østfold ungdoms- og familiesenter - omsorg, avd Dal	Barnevernsinstitusjon	Barnevernsinstitusjon	1	1	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	232709	Ø-3-ØUFS-DA	ØSTFOLD	SARPSBORG	Hovdenveien 159	1708	SARPSBORG				
Vest			755	Bjørgvin ungdomssenter	756	Bjørgvin Ungdomssenter, avd. Bønesskogen	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	442703	V-4-BUS-BØ	VESTLAND	BERGEN	Bønesskogen 333	5154	BØNES				
Vest					55315	Fana og Ytrebygda ungdomssenter adm	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	453201	V-5-FYUS	VESTLAND	BERGEN	Skjoldvegen 51-55	5221	NESTTUN				
Vest			755	Bjørgvin ungdomssenter	757	Bjørgvin Ungdomssenter, avd. Bønesstølen	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	442702	V-4-BUS-BS	VESTLAND	BERGEN	Bønesstølen 13	5154	BØNES				
Øst			648	Kirkenær barnevern- og omsorgssenter Administrasjon	48246	Kirkenær barnevern- og omsorgssenter Avdeling Frigg	Barnevernsinstitusjon	Barnevernsinstitusjon	2	1	/ § 5-1 Omsorgsovertakelse		Statlig	232813	Ø-3-KBOS-FR	INNLANDET	GRUE	Snorresveg 2	2260	KIRKENÆR				
Vest			596	Bergen akuttsenter (BAS)	50626	Tverrfaglig helsekartlegging avd Vestland - Team 1	Avdeling	Utredningsteam	0	0			Statlig	410606	V-1-BAS-TH1	VESTLAND	BERGEN	Nedre Nattland 69	5099	BERGEN				
Vest			596	Bergen akuttsenter (BAS)	51473	Tverrfaglig helsekartlegging avd Vestland - Team 2	Avdeling	Utredningsteam	0	0			Statlig	410607	V-1-BAS-TH2	VESTLAND	BERGEN	Nedre Nattland 69	5099	BERGEN				
Sør			47878	Grøterød ungdomshjem	47882	Ulabrand	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 4-2 Akutt, uten samtykke / § 4-1 Hjelpetiltak akutt / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	333802	S-3-UGH-UL	VESTFOLD	LARVIK	Geiteramsveien 81	3268	LARVIK				
Sør			48270	Lågen ungdomshjem	49169	Knuten	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 3-6 Hjelpetiltak til unge over 18 år / § 5-5 Flytting / § 5-1 Omsorgsovertakelse		Statlig	333902	S-3-LUH-KN	BUSKERUD	KONGSBERG	Frogsvei 21-27	3611	KONGSBERG				
Sør			48270	Lågen ungdomshjem	49162	Mynten	Barnevernsinstitusjon	Barnevernsinstitusjon	6	5	/ § 3-2 Hjelpetiltak omsorg / § 3-6 Hjelpetiltak til unge over 18 år / § 5-1 Omsorgsovertakelse / § 5-5 Flytting		Statlig	333901	S-3-LUH-MY	BUSKERUD	KONGSBERG	Frogsvei 21-27	3611	KONGSBERG				
Vest			831	Kasa Ungdomssenter avd. adm.	835	Kasa Ungdomssenter avd. Tertnes	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg		Statlig	432807	V-4-KASA-TE	VESTLAND	BERGEN	Tertneshøyden 33B	5113	TERTNES				
Øst			51975	Jong ungdoms- og familiesenter, adm	51978	Regionalt ressursmiljø rus i barnevernstiltak	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	237204	Ø-3-JUFS-RRB	AKERSHUS	BÆRUM	Emma Hjorths vei 60	1336	SANDVIKA				
Vest			798	Skjoldvegen barnevernsenter	801	Skjoldvegen barnevernsenter, avd. Søfteland	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	432103	V-3-SBS-SØ	VESTLAND	BJØRNAFJORDEN	Haugane 15	5212	SØFTELAND				
Midt			735	Kvammen akuttsenter	51678	Kvammen akuttsenter, avdeling Melhus	Barnevernsinstitusjon	Barnevernsinstitusjon	5	4	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	512002	M-1-KAS-ME	TRØNDELAG	MELHUS	Hølondveien 311	7223	MELHUS				
Sør			51719	Stokke barnesenter	52051	Lerketoppen	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Statlig	334201	S-2-SBS-LT	VESTFOLD	SANDEFJORD	Grimestadveien 69	3160	STOKKE				
Sør			50607	Skjerven rusbehandling ungdom	50608	Wenchebo	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Statlig	344102	S-4-SRU-WB	VESTFOLD	LARVIK	Damtjernveien 598	3275	SVARSTAD				
Øst			51967	Bufetats behandlingssenter Akershus_Østfold, adm	51973	Bufetats behandlingssenter Akershus_Østfold, avd Østheim	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	237105	Ø-3-BSAØ-ØH	ØSTFOLD	FREDRIKSTAD	Østheimveien 14	1630	GAMLE FREDRIKSTAD				
Øst			43887	Bufetat Øst Innlandet Barnevernsenter	54820	Innlandet barnevernsenter avdeling Undset	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	235408	Ø-3-IBS-UN	INNLANDET	VESTRE TOTEN	Nordsetvegen 227	2840	REINSVOLL				
Øst			43887	Bufetat Øst Innlandet Barnevernsenter	46900	Innlandet Barnevernsenter avdeling Sandvig	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 3-6 Hjelpetiltak til unge over 18 år / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Statlig	235402	Ø-3-IBS-SA	INNLANDET	GJØVIK	Øverbyveien 88-104	2819	GJØVIK				
Midt			47066	Trøndelag behandlingssenter for ungdom	49981	Moholt Ungdomssenter	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	541103	M-4-TBSU-MO	TRØNDELAG	TRONDHEIM	Åsvangveien 2	7048	TRONDHEIM				
Øst			681	Lierfoss ungdoms- og familiesenter - omsorg Administrasjon	51586	Lierfoss ungdoms- og familiesenter - avdeling Skogtun	Barnevernsinstitusjon	Barnevernsinstitusjon	5	5	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt		Statlig	232611	Ø-3-LUFS-SK	AKERSHUS	AURSKOG-HØLAND	Storveien 1408	1950	RØMSKOG				
Sør			51628	Katfoss behandling ungdom	51674	Katfoss	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	344301	S-4-KBU-KA	BUSKERUD	MODUM	Ilaugveien 1A	3360	GEITHUS			Katfoss@bufetat.no	
Nord			693	Kvæfjord Ungdomssenter administrasjonen	750	Kvæfjord Ungdomssenter avdeling 2	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 3-2 Hjelpetiltak omsorg / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 5-5 Flytting / § 4-2 Akutt, uten samtykke / § 4-1 Hjelpetiltak akutt / § 5-1 Omsorgsovertakelse / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	633502	N-4-KUS-A2	TROMS	KVÆFJORD	Heimlyveien 5	9475	BORKENES				
Sør			712	Agder ungdomssenter	481	Skomrak	Barnevernsinstitusjon	Barnevernsinstitusjon	4	3	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	343104	S-4-ABU-SK	AGDER	LYNGDAL	Solheiveien 25	4580	LYNGDAL				
Øst			51975	Jong ungdoms- og familiesenter, adm	51976	Jong ungdoms- og familiesenter, avd Åsen	Barnevernsinstitusjon	Barnevernsinstitusjon	5	4	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	237203	Ø-3-JUFS-ÅS	AKERSHUS	BÆRUM	Emma Hjorths vei 60	1336	SANDVIKA				
Vest			52819	AVVIKLES -  Eikelund ungdomssenter behandling høy	54579	AVVIKLES -  Eikelund US avd. beh. høy	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	445402	V-4-EUS-EUB	VESTLAND	BERGEN	Sandbrekkvegen 27	5231	PARADIS				
Vest			55315	Fana og Ytrebygda ungdomssenter adm	55324	Fana og Ytrebygda ungdomssenter avd. Eikelund	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	453205	V-5-FYUS-EL	VESTLAND	BERGEN	Sandbrekkvegen 27	5231	PARADIS				
Sør			712	Agder ungdomssenter	54324	Justøya	Barnevernsinstitusjon	Barnevernsinstitusjon	2	2	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	343106	S-4-ABU-JU	AGDER	LILLESAND	Justøyveien 493	4780	BREKKESTØ				
Midt			47066	Trøndelag behandlingssenter for ungdom	51660	Skatval ungdomssenter	Barnevernsinstitusjon	Barnevernsinstitusjon	4	3	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Statlig	541105	M-4-TBSU-SK	TRØNDELAG	STJØRDAL	Forbordsfjellveien 119	7510	SKATVAL				
Øst			51967	Bufetats behandlingssenter Akershus_Østfold, adm	51965	Bufetats behandlingssenter Akershus_Østfold, avd Kroerveien	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke		Statlig	237102	Ø-3-BSAØ-KI	AKERSHUS	VESTBY	Kroerveien 9	1540	VESTBY				
Vest			46078	Sandnes ungdomssenter - adm	46081	Sandnes ungdomssenter - Minde 2	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	433103	V-3-SAUS-M2	ROGALAND	SANDNES	Mindeveien 8A	4327	SANDNES				
Vest			46078	Sandnes ungdomssenter - adm	46081	Sandnes ungdomssenter - Minde 2	Barnevernsinstitusjon	Barnevernsinstitusjon	4	4	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Statlig	433103	V-3-SAUS-M2	ROGALAND	SANDNES	Mindeveien 8A	4327	SANDNES				
Midt			47066	Trøndelag behandlingssenter for ungdom	47065	Buvika ungdomssenter	Barnevernsinstitusjon	Barnevernsinstitusjon	3	3	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Statlig	541102	M-4-TBSU-BUS	TRØNDELAG	SKAUN	Hanskleiva 25	7350	BUVIKA				
