jeg gir deg alle dataene : Region	Tilhørighet2EnhetID	Tilhørighet2	TilhørighetEnhetID	Tilhørighet	EnhetID	Enhetsnavn	Enhetskorttype	Enhetstype (Utledet)	Antall G/K - plasser	Antall budsjetterte plasser	Hjemler	Nedlagt Dato	Eierskapenhet	Lokasjonskode	ePhorte Adm Id	Fylke	Kommune	Adresse	Postnummer	Poststed	Telefon	Nettside	EPost	Orgnr
Vest			1323	Stiftelsen Hiimsmoenkollektivet	2391	Hiimsmoenkollektivet	Avdeling	Barnevernsinstitusjon	13	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, ideell			ROGALAND	SULDAL	Him 63	4230	SAND				
Vest			1322	Måløykollektivene	2393	Måløykollektivet	Avdeling	Barnevernsinstitusjon	9	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, ideell			VESTLAND	KINN	Oppedalsvegen 311	6700	MÅLØY				973479067
Vest			1322	Måløykollektivene	2396	Kannesteinen	Avdeling	Barnevernsinstitusjon	3	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, ideell			VESTLAND	KINN	Oppedalsvegen 377	6700	MÅLØY				987127287
Øst			1324	Fossumkollektivet	2399	Gården	Avdeling	Barnevernsinstitusjon	10	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, ideell			ØSTFOLD	INDRE ØSTFOLD	Høgda 40	1820	SPYDEBERG	69833120			993507040
Sør	27825	Frelsesarmeens seksjon for oppvekst	1334	Frelsesarmeen institusjon, enhet sør	2408	Solgløtt	Barnevernsinstitusjon	Barnevernsinstitusjon	6	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			BUSKERUD	DRAMMEN	Bolstadhagen 61	3028	DRAMMEN			solglott@frelesesarmeen.no	973112058
Vest	30529	Haraldsplass Serio Ung	1349	Haraldsplass Serio Ung Region Vestland	2411	Garnes	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, ideell			VESTLAND	BERGEN	Garnestangen 71	5264	GARNES				974180707
Vest	41139	CRUX helse og oppvekst	1338	CRUX oppvekst - institusjon Bergen	2417	Grønnestølsveien	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, ideell			VESTLAND	BERGEN	Grønnestølsveien 72	5073	BERGEN				922173389
Øst	27825	Frelsesarmeens seksjon for oppvekst	1326	Frelsesarmeen institusjon Øst	2418	Solgry barnehjem	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			AKERSHUS	FROGN	Nils Carlsens gate 31	1440	DRØBAK	64905130			
Øst	27825	Frelsesarmeens seksjon for oppvekst	1326	Frelsesarmeen institusjon Øst	2423	Soldammen Gården	Avdeling	Barnevernsinstitusjon	6	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			AKERSHUS	VESTBY	Gjølstadveien 73	1550	HØLEN	64980470		soldammen@frelsesarmeen.no	982132231
Midt			1343	Crux stiftelsen Rostad	2425	Pynten	Avdeling	Barnevernsinstitusjon	5	0	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, ideell			TRØNDELAG	INDERØY	Rostadveien 300	7670	INDERØY			r.breivikas@stiftelsencrux.no	876771802
Øst			1345	Brusetkollen Barnevernsenter	2426	Tilla	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, ideell			AKERSHUS	ASKER	Otto Valstadsvei 70	1373	ASKER				992766425
Øst			1345	Brusetkollen Barnevernsenter	2431	Solstadlia	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			AKERSHUS	ASKER	Solstadlia 69, Pb. 422 Hvalsta	1373	ASKER				992766425
Øst			1331	Fagertun Norsk Folkehjelp	2435	Rudsenga	Avdeling	Barnevernsinstitusjon	5	0	/ § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, ideell			INNLANDET	RINGSAKER	Rudsenga 2	2380	BRUMUNDDAL	62 34 05 20 			979095678
Øst			1345	Brusetkollen Barnevernsenter	2440	Otto	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, ideell			AKERSHUS	ASKER	Solstadlia 76	1395	HVALSTAD				992766425
Øst			1341	Stiftelsen Milepælen	2441	Lottebo	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			AKERSHUS	NES	Postboks 122	2151	ÅRNES				
Øst			1341	Stiftelsen Milepælen	2448	Pælen	Avdeling	Barnevernsinstitusjon	7	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			AKERSHUS	NES	Postboks 122	2151	ÅRNES				
Øst			1331	Fagertun Norsk Folkehjelp	2449	Furnesveien	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, ideell			INNLANDET	HAMAR	Furnesveien 128	2318	HAMAR	62532821			
Øst			1345	Brusetkollen Barnevernsenter	2451	Haugboveien	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			AKERSHUS	ASKER	Haugboveien 39, Pb. 422	1373	ASKER				992766425
Vest	41139	CRUX helse og oppvekst	1338	CRUX oppvekst - institusjon Bergen	2453	Storhammeren	Avdeling	Barnevernsinstitusjon	4	0	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, ideell			VESTLAND	BERGEN	Storhammeren 38	5145	FYLLINGSDALEN	55 55 34 10			922173389
Midt			1343	Crux stiftelsen Rostad	2459	Nygården	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			TRØNDELAG	INDERØY	Rostadveien 300	7670	INDERØY			r.breivikas@stiftelsencrux.no	876771802
Vest			1332	Voss Barnevernsenter	2464	Femmælen	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, ideell			VESTLAND	VOSS	 Femmælen	5710	SKULESTADMO	            			996423352
Øst			37941	Stiftelsen KIrkens Bymisjon Oslo	2471	Heggeli	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, ideell			OSLO	OSLO	Lindbäckveien 49G	1163	OSLO			lena.lind@bymisjon.no	
Vest			1332	Voss Barnevernsenter	2480	Lundarhovden	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			VESTLAND	VOSS	Strandavegen 193	5710	SKULESTADMO	            			974729946
Vest			1344	Josephines Stiftelse	2486	Rytterveien	Avdeling	Barnevernsinstitusjon	5	0	/ § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg		Privat, ideell			ROGALAND	STAVANGER	Rytterveien 78	4046	HAFRSFJORD				
Vest	27825	Frelsesarmeens seksjon for oppvekst	48636	Frelsesarmeen institusjon, enhet vest	2491	Tryggheim	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, ideell			ROGALAND	STAVANGER	Jåttåhagen 12 A og B	4032	STAVANGER				973112171
Sør	48647	Human Care Ung AS	25133	Humana Barnevern Kristiansand	2496	Vågsbygd	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg		Privat, kommersiell			AGDER	KRISTIANSAND	Vågsbygd Ringvei 26	4620	KRISTIANSAND S				930294985
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	2502	Hevingen	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			ØSTFOLD	SARPSBORG	Svartedalsberget 39	1739	BORGENHAUGEN	91872856			984331584
Øst	1365	Stendi AS	28086	Stendi Område Øst	2503	Skøyenåsen	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			OSLO	OSLO	Peter Aas`vei 20b	0667	OSLO	975 16 374			
Øst	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	2516	Sparbytunet	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AKERSHUS	LUNNER	Vaterudsvegen 23	2720	GRINDVOLL	61 32 67 25			925036226
Øst	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	2527	Solbakken	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			INNLANDET	GRAN	Skarimoen 6	2760	BRANDBU				925036226
Øst	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	2528	Storetjern	Avdeling	Omsorgssenter	6	0	/ § 11-1 Opphold på omsorgssenter		Privat, kommersiell			AKERSHUS	JEVNAKER	Storetjernveien 150	3520	JEVNAKER				925036226
Midt	49297	Blå kors	1352	Blå Kors Barnevern avdeling Malvik (Villa Vika)	2549	Lertrøa	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 5-1 Omsorgsovertakelse		Privat, ideell			TRØNDELAG	MALVIK	Lertrøveien 3	7551	HOMMELVIK	73 97 10 15			885851312
Øst	1365	Stendi AS	28086	Stendi Område Øst	2550	Sjøhagen	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			ØSTFOLD	MOSS	Postboks 83	1520	MOSS				991761128
Øst	1365	Stendi AS	28086	Stendi Område Øst	2551	Hølen	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AKERSHUS	VESTBY	Brandstadveien 96	1550	HØLEN				991761152
Øst			1405	Rena Ungdoms- og Familiesenter	2553	Haralosen 8	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			INNLANDET	ÅMOT	Haraldosen8	2450	RENA	62 44 18 90			
Midt	49297	Blå kors	1352	Blå Kors Barnevern avdeling Malvik (Villa Vika)	2558	Vuluveien	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			TRØNDELAG	MALVIK	Vuluveien 27	7563	MALVIK	73 97 10 15			885851312
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	2564	Son	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AKERSHUS	VESTBY	Grevlingsstien 6	1556	SON	64950408			984331584
Øst	48647	Human Care Ung AS	48650	Humana Barnevern Øst	2597	Haslum	Avdeling	Barnevernsinstitusjon	2	0	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			AKERSHUS	BÆRUM	Bærumsveien 288	1344	HASLUM	952 79 549			896637282
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	2603	Hølen	Avdeling	Barnevernsinstitusjon	3	0	/ § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			AKERSHUS	VESTBY	Gjølstadveien 141	1550	HØLEN				984331584
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	2610	Einaren Bofellesskap	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TELEMARK	SKIEN	Nedre Einaren 14	3744	SKIEN				991833234
Øst	1365	Stendi AS	28086	Stendi Område Øst	2623	Huset Bofellesskap	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			OSLO	OSLO	Hofsjef Løvenskiolds vei	0382	OSLO				991834699
Øst	1365	Stendi AS	28086	Stendi Område Øst	2628	Zinober	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt		Privat, kommersiell			OSLO	OSLO	Rundtjernveien 38E	0672	OSLO				996096033
Øst	1365	Stendi AS	28086	Stendi Område Øst	2629	Blomsterkroken Bofellesskap	Avdeling	Barnevernsinstitusjon	3	0	/ § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 3-2 Hjelpetiltak omsorg		Privat, kommersiell			AKERSHUS	BÆRUM	Askliveien 1	1365	BLOMMENHOLM				996096106
Midt	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	2632	Rissa	Avdeling	Barnevernsinstitusjon	3	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TRØNDELAG	INDRE FOSEN	Hertug Skules vei 3	7100	RISSA	73855205			925036226
Midt	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	2633	Granhaugen	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TRØNDELAG	ÅFJORD	Prestegådslia 2	7170	ÅFJORD	73853067			925036226
Midt	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	2642	Bolli 2	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			MØRE OG ROMSDAL	HUSTADVIKA	Bolli Nedre	6493	LYNGSTAD			kine.rosand@stendi.no	
Midt	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	2643	Bolli 1	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			MØRE OG ROMSDAL	HUSTADVIKA	Nedre Bolli 386	6493	LYNGSTAD	71 29 58 01		kine.rosand@stendi.no	
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	2646	Frogner Bofellesskap	Barnevernsinstitusjon	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TELEMARK	SKIEN	Bratberghavna 12	3714	SKIEN				997795210
Vest	1365	Stendi AS	28085	Stendi Område Sør og Vest	2649	Hesjakollen	Avdeling	Barnevernsinstitusjon	4	0	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			VESTLAND	BERGEN	Ture Nermannsvei 87	5143	FYLLINGSDALEN	55 11 61 10			912665410
Midt	48647	Human Care Ung AS	1395	Humana barnevern Trondheim	2655	Stavset	Avdeling	Barnevernsinstitusjon	4	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			TRØNDELAG	TRONDHEIM	Alfheimsvingen 17	7026	TRONDHEIM				926071750
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	2676	Kaddan	Barnevernsinstitusjon	Barnevernsinstitusjon	6	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AGDER	LINDESNES	Høier Støa	4534	MARNARDAL				996095274
Sør	48647	Human Care Ung AS	1375	Humana Barnevern Arendal	2681	Birkenlund	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 3-1 Hjelpetiltak / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 3-2 Hjelpetiltak omsorg		Privat, kommersiell			AGDER	ARENDAL	Ridebaneveien 6	4843	ARENDAL	908 81 100			982507715
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	2694	Hakastein Bofellesskap	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TELEMARK	SKIEN	Hakasteinvegen 27	3728	SKIEN	98633605			996095908
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	2714	Oslogata	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			ØSTFOLD	FREDRIKSTAD	Oslogata 6B og C	1610	FREDRIKSTAD	69508018			984331584
Vest	48647	Human Care Ung AS	28091	Humana Barnevern Sandnes	2716	Gimra	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			ROGALAND	SOLA	Gimramyrvegen 10	4054	TJELTA	93061977			996283305
